CityName,Latitude,Longitude,DayOfFocus,DayOfFocusHeight,DayofFocusHour,WinterHeight,SummerHeight,AnnualTotalSunlightHour,AnnualAvgSunlightHour,AnnualMinHour,AnnualMaxHour
TORONTO,43.69997988,-79.42002079,Feb 1,45.21,9.66,57.86,0,4371.19,12.01,8.748576821332412,15.251423178667588
MOOSE JAW,50.39998435,-105.5500021,Nov 1,16.45,9.41,21.31,0,4371.19,12.01,8.748576821332412,15.251423178667588
